i,x,f(x)
1,2.8,-0.32051436209757617
2,2.2,0.8008505053747168
3,2.5,0.25632276786176655
4,2.65,-0.05378489278189996
5,2.575,0.09899938185915699
6,2.6125,0.021632082787024
7,2.6312499999999996,-0.016370309667738114
8,2.6218749999999997,0.0025636251989081815
9,2.6265624999999995,-0.006920937810017513
10,2.62421875,-0.0021829578724734122
11,2.623046875,0.00018927045540090282
12,2.6236328125,-0.0009971110342743006
13,2.62333984375,-0.00040398693044757517
14,2.623193359375,-0.00010737487396872414
15,2.6231201171875,4.094363458079231e-05
16,2.62315673828125,-3.3216659099721824e-05
17,2.623138427734375,3.86322793555216e-06
