i,x in bisection,x in regula falsi,x in newton raphson
1,-0.5,-0.6850733573260451,-1.0000500024999313
2,-0.75,-0.736298997613654,-0.7503638676089563
3,-0.625,-0.7389453559657132,-0.7391126462513903
4,-0.6875,-0.7390781308800257,-0.7390851327747899
5,-0.71875,-0.7390847824489231,_
6,-0.734375,_,_
7,-0.7421875,_,_
8,-0.73828125,_,_
9,-0.740234375,_,_
10,-0.7392578125,_,_
11,-0.73876953125,_,_
12,-0.739013671875,_,_
13,-0.7391357421875,_,_
14,-0.73907470703125,_,_
15,-0.739105224609375,_,_
16,-0.7390899658203125,_,_
